tcp_port,totalDifficulty,forkID,ip,is_dyndial,version,is_inbound,caps,head,last_time,udp_port,networkID,fullname,id,is_eth_handshake_complete,is_eth_handshake
19026,58750003716598352816469,{[220 233 108 45] 0},54.91.170.90,False,68,True,[eth/68],0x0e5522824362bffed0fa4d5f6c1fa939e24b8634344ca211ec5f39a1166490bd,2024-01-24T09:14:49+08:00,19026,1,erigon/v2.57.0/linux-amd64/go1.20.7,5fc41d9a68bba7caf540e8be16875b23666be4c56466546933b3f048d9becd28,True,True
49230,58750003716598352816469,{[220 233 108 45] 0},86.93.159.153,False,68,True,[eth/66 eth/67 eth/68 nodedata/1 snap/1],0x256f72073b033190d1dec27a66f665ba46e314de120b1987840337bc171f2665,2024-01-24T09:16:08+08:00,49230,1,Nethermind/v1.25.2+78c7bf5f/linux-x64/dotnet8.0.1,9a1b3a91746b7ea5c814ee056d6d38ec38e3d01438a64864258fb7c7d940c067,True,True
46192,58750003716598352816469,{[220 233 108 45] 0},71.212.61.183,False,68,True,[eth/66 eth/67 eth/68 nodedata/1 snap/1],0x690eed08f044c6b726dcd130120bbd69b24eb8f230303e5f178c8bc95bbd6947,2024-01-24T09:17:31+08:00,46192,1,Nethermind/v1.25.2+78c7bf5f/linux-x64/dotnet8.0.1,817acc4ac21c6f8c8d5451206c2d0010b5bb8537f3db549c95a133be08454a5c,True,True
27668,58750003716598352816469,{[220 233 108 45] 0},82.207.245.110,False,68,True,[eth/66 eth/67 eth/68 nodedata/1],0x2da648e6c187e30ceed5d609006c6fb5720e9fa4d89acaf585382d5cb58b4f67,2024-01-24T09:19:30+08:00,27668,1,Nethermind/v1.25.2+78c7bf5f/linux-arm64/dotnet8.0.1,23ec498b09aa7a323a962f58b0632dfb65a240396e4e3400f411ef6bfd99c278,True,True
43840,58750003716598352816469,{[220 233 108 45] 0},5.56.201.115,False,68,True,[eth/67 eth/68 snap/1],0x235797302d18536c622a7c313be4fc41d40379fe4373689db8a33eed3911dc13,2024-01-24T10:00:53+08:00,43840,1,Geth/v1.13.6-stable-da6cdaf6/linux-arm64/go1.21.5,8df79d809bb06c430c5fb52bb0b6d2c202f02da979b392f7cff5ad596bec2003,True,True
31483,58750003716598352816469,{[220 233 108 45] 0},220.202.249.132,False,68,True,[eth/66 eth/67 eth/68 snap/1],0x5d5db3a357ce9a487d716d332de701165610c21c8f2a1e1fd69ae3550cc94ef6,2024-01-24T09:18:12+08:00,31483,1,Geth/v1.12.0-stable-e501b3b0/linux-amd64/go1.20.4,8f9ba11ebe03dbdc6cafe063d13b191d9589057f9fa16d9292fcca17726bfc23,True,True
30303,58750003716598352816469,{[252 100 236 4] 1150000},18.231.23.13,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xf587cd73c60154b499230ca71ea3b98b7694fbf9d00c1ecae6b22a1c94acab1b,2024-01-24T17:34:31+08:00,30303,1,erigon/2.48.0/linux-amd64/go1.19.12,875e33bb7880056afa4075da90c57cc5f2f1c34d6afae6c3cc5f9cd05179472a,True,True
30303,17179869184,{[252 100 236 4] 1150000},162.236.172.26,True,67,False,[eth/66 eth/67 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T18:13:41+08:00,30303,1,Geth/v1.10.26-stable-e5eb32ac/linux-arm64/go1.18.1,77a7df851dc2a15c5f428d738a2b438c0ba9ff07b4440a4114b2bafecd4f37a4,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},73.25.145.28,True,68,False,[eth/67 eth/68 snap/1],0xd8c22a9d1d4be5a9fa94b8ba9a96da14dac593c8123bf788542a1b4f57f19061,2024-01-24T12:06:23+08:00,30303,1,Geth/v1.13.10-stable-bc0be1b1/linux-amd64/go1.21.6,1d3d9315cac903cf28c6bad6cf61ffb89fa66d05b0c32ab3794e3d01ab136bdc,True,True
30303,58750003716598352816469,{[252 100 236 4] 1150000},44.221.76.171,True,68,False,[eth/67 eth/68 snap/1],0x39e44ec7afd33fedde571328fe3c9726f12cf316f192e1fde364dbdb97c2639a,2024-01-24T12:20:37+08:00,30303,1,Geth/v1.13.4-stable-3f907d6a/linux-amd64/go1.21.3,62ad3c9d6a117f3bb1355e00f6a8d2f0838c061b062346b1923d9b227ccb5862,True,True
30303,58750003716598352816469,{[240 175 208 227] 0},65.130.50.163,True,67,False,[eth/66 eth/67 snap/1],0xc2558f8143d5f5acb8382b8cb2b8e2f1a10c8bdfeededad850eaca048ed85d8f,2024-01-24T17:13:47+08:00,22059,1,Geth/v1.10.26-stable-e5eb32ac/linux-amd64/go1.18.5,77862f8a549c674a132165b60091c06b0a330bcb66eb0c04d4bbfb81c78344b6,True,True
